,Bacteroidales,Oscillospirales,RF32,Verrucomicrobiales,Actinomycetales,Lactobacillales,Enterobacterales,Veillonellales,Brachyspirales,Haloplasmatales,Lachnospirales,Clostridiales,Erysipelotrichales,Acidaminococcales
MB-6025,0.7251938705795506,0.020593386601373,0.0,0.0,0.2542127428190762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-5139,0.7414229062383128,0.0,0.0,0.0,0.0,0.0,0.2585770937616873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-1248,0.1815156505981351,0.271392012845797,0.0,0.0,0.0,0.2129183904725018,0.0,0.0170078590577615,0.0,0.0,0.0,0.0,0.3171660870258043,0.0
MB-3181,0.3836283224313901,0.2255886247055748,0.0,0.0,0.0,0.0,0.0,0.0,0.1077138385926716,0.247818726917523,0.0,0.0,0.0,0.0352504873528403
MB-8956,0.7038263710177852,0.1109157920510957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852578369311189,0.0,0.0
MB-5689,0.41444206114132676,0.3451287943948761,0.0,0.0,0.0248198627398922,0.0,0.2156092817239046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7455,0.45815356111085564,0.3844481225888392,0.0,0.0,0.0,0.0,0.0,0.157398316300305,0.0,0.0,0.0,0.0,0.0,0.0
MB-2893,0.1995219845456934,0.0,0.0,0.0,0.0,0.578234625005321,0.0,0.2222433904489856,0.0,0.0,0.0,0.0,0.0,0.0
MB-5562,0.0,0.7584713960633821,0.0,0.0773819141592378,0.0,0.0,0.0,0.16414668977738,0.0,0.0,0.0,0.0,0.0,0.0
MB-4678,0.0,0.0,0.0,0.0,0.135274021832235,0.23542881935865168,0.0,0.0916563864526563,0.0,0.0,0.0984060599308843,0.130825206323232,0.197005968876445,0.1114035372258952
MB-7963,0.4192936140491385,0.2253896572939069,0.0,0.0,0.0,0.3409512700714374,0.0,0.0,0.0,0.0,0.0,0.0143654585855172,0.0,0.0
MB-5029,0.4887429686457653,0.0,0.0,0.0,0.0,0.0,0.2123272556616672,0.0,0.0,0.0,0.1018061297542032,0.1971236459383639,0.0,0.0
MB-7390,0.1449592273687071,0.1619293135308311,0.0,0.1466032234122207,0.0,0.3841462647503939,0.0,0.0,0.0,0.0,0.0,0.0796367476613509,0.0,0.0827252232764961
MB-1599,0.9351075415978863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648924584021137,0.0,0.0,0.0,0.0
MB-8390,0.3835581141121953,0.0,0.0,0.0,0.6164418858878048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-3303,0.36723555684097703,0.0,0.0,0.3248045981185878,0.0808661336764162,0.227093711364019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-9929,0.5098487260573228,0.0996629634330668,0.0,0.0,0.0,0.1490886382384012,0.0,0.0,0.0,0.241399672271209,0.0,0.0,0.0,0.0
MB-2963,0.0700047823081049,0.3952021656613673,0.3251213474336801,0.0,0.0,0.0,0.0,0.2096717045968474,0.0,0.0,0.0,0.0,0.0,0.0
MB-6544,0.3874871857517009,0.1649637216590791,0.3791492315395842,0.0,0.0683998610496357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-4073,0.0,0.7097064671292779,0.0,0.0,0.0,0.2330235460993227,0.0,0.0,0.0,0.0,0.0572699867713994,0.0,0.0,0.0
MB-2333,0.0,0.1283479671229718,0.0,0.0,0.0,0.5208843038740212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507677290030068
MB-2167,0.0,0.0,0.0013133281065678,0.0,0.0,0.9986866718934321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
